Date,Open,High,Low,Close,Volume
2024-01-01 00:00:00,1800,1800.949416097101,1799.3457057482542,1800.1899402117751,2000
2024-01-01 00:15:00,1805,1805.2472093160864,1804.4840358467366,1804.6910944720278,2001
2024-01-01 00:30:00,1810,1811.6283712848294,1809.875468894345,1811.029346661632,2002
2024-01-01 00:45:00,1815,1816.2938265574835,1814.3220587048581,1815.4154757872402,2003
2024-01-01 01:00:00,1820,1820.45659814633,1819.8022093351506,1820.079801085882,2004
2024-01-01 01:15:00,1825,1825.840367291794,1823.4935202936128,1824.4886439926138,2005
2024-01-01 01:30:00,1830,1830.3295509750385,1828.9766973829978,1829.3429050726297,2006
2024-01-01 01:45:00,1835,1835.453120443522,1834.6266198285368,1834.6590376875179,2007
2024-01-01 02:00:00,1840,1841.3669723106232,1839.127753665922,1840.8659340173058,2008
2024-01-01 02:15:00,1845,1845.529562194286,1844.1646699415712,1844.8199236224434,2009
